,Have_Followers,Count
0,0,41
1,1,35
2,2,31
3,3,30
4,5,21
5,4,19
6,7,12
7,11,10
8,12,10
9,6,9
10,13,8
11,8,8
12,10,7
13,15,7
14,17,6
15,20,6
16,31,5
17,18,5
18,9,5
19,40,4
20,14,4
21,37,4
22,41,4
23,79,4
24,48,3
25,60,3
26,71,3
27,53,3
28,54,3
29,61,3
30,34,3
31,62,3
32,28,3
33,27,3
34,26,3
35,95,3
36,23,3
37,19,3
38,16,3
39,89,2
40,93,2
41,83,2
42,81,2
43,74,2
44,67,2
45,115,2
46,70,2
47,108,2
48,30,2
49,64,2
50,55,2
51,51,2
52,47,2
53,44,2
54,43,2
55,39,2
56,130,2
57,29,2
58,25,2
59,22,2
60,21,2
61,99,2
62,94,2
63,153,2
64,160,2
65,300,2
66,149,2
67,146,2
68,254,2
69,36,1
70,783,1
71,266,1
72,264,1
73,1279,1
74,32,1
75,33,1
76,250,1
77,35,1
78,138,1
79,273,1
80,38,1
81,1266,1
82,552,1
83,238,1
84,223,1
85,222,1
86,45,1
87,46,1
88,215,1
89,1233,1
90,561,1
91,246,1
92,24,1
93,788,1
94,384,1
95,1009,1
96,466,1
97,86,1
98,1479,1
99,450,1
100,446,1
101,956,1
102,915,1
103,902,1
104,387,1
105,382,1
106,205,1
107,360,1
108,351,1
109,322,1
110,319,1
111,318,1
112,1100,1
113,301,1
114,293,1
115,287,1
116,285,1
117,50,1
118,194,1
119,1227,1
120,105,1
121,87,1
122,68,1
123,91,1
124,499,1
125,148,1
126,2144,1
127,98,1
128,611,1
129,209,1
130,104,1
131,147,1
132,135,1
133,1133,1
134,111,1
135,113,1
136,144,1
137,121,1
138,125,1
139,126,1
140,128,1
141,140,1
142,133,1
143,1110,1
144,84,1
145,158,1
146,592,1
147,193,1
148,56,1
149,57,1
150,58,1
151,49,1
152,191,1
153,190,1
154,63,1
155,189,1
156,65,1
157,66,1
158,176,1
159,1092,1
160,174,1
161,170,1
162,72,1
163,163,1
164,75,1
165,76,1
166,77,1
167,78,1
168,1037,1
