,Have_Friends,Count
0,17,8
1,39,6
2,49,6
3,45,6
4,22,6
5,21,6
6,20,6
7,38,6
8,16,6
9,15,6
10,83,5
11,19,5
12,126,4
13,77,4
14,28,4
15,62,4
16,94,4
17,14,4
18,60,4
19,98,4
20,117,4
21,12,4
22,51,4
23,71,3
24,205,3
25,103,3
26,273,3
27,376,3
28,44,3
29,66,3
30,102,3
31,110,3
32,58,3
33,40,3
34,104,3
35,50,3
36,47,3
37,137,3
38,25,3
39,177,3
40,131,3
41,91,3
42,90,3
43,18,3
44,23,3
45,135,3
46,61,3
47,30,3
48,29,3
49,84,2
50,277,2
51,278,2
52,80,2
53,203,2
54,92,2
55,70,2
56,74,2
57,132,2
58,134,2
59,76,2
60,100,2
61,85,2
62,72,2
63,121,2
64,140,2
65,82,2
66,89,2
67,173,2
68,585,2
69,11,2
70,78,2
71,186,2
72,24,2
73,81,2
74,469,2
75,13,2
76,245,2
77,116,2
78,125,2
79,164,2
80,165,2
81,6,2
82,167,2
83,170,2
84,27,2
85,34,2
86,141,2
87,113,2
88,199,2
89,236,2
90,212,2
91,54,2
92,53,2
93,52,2
94,99,2
95,152,2
96,577,2
97,257,2
98,42,2
99,156,2
100,111,2
101,421,2
102,127,1
103,130,1
104,148,1
105,138,1
106,667,1
107,162,1
108,208,1
109,159,1
110,158,1
111,157,1
112,4764,1
113,2713,1
114,139,1
115,150,1
116,661,1
117,147,1
118,146,1
119,142,1
120,653,1
121,124,1
122,595,1
123,123,1
124,633,1
125,55,1
126,3120,1
127,2606,1
128,43,1
129,41,1
130,35,1
131,32,1
132,31,1
133,26,1
134,529,1
135,522,1
136,9,1
137,8,1
138,7,1
139,5,1
140,3,1
141,564,1
142,56,1
143,178,1
144,59,1
145,2129,1
146,630,1
147,626,1
148,109,1
149,619,1
150,96,1
151,88,1
152,87,1
153,79,1
154,526,1
155,1614,1
156,10,1
157,73,1
158,68,1
159,67,1
160,65,1
161,64,1
162,75,1
163,582,1
164,174,1
165,373,1
166,362,1
167,1387,1
168,880,1
169,370,1
170,371,1
171,372,1
172,1074,1
173,46,1
174,385,1
175,807,1
176,2598,1
177,4489,1
178,572,1
179,602,1
180,361,1
181,432,1
182,1135,1
183,351,1
184,828,1
185,343,1
186,851,1
187,338,1
188,336,1
189,335,1
190,334,1
191,1356,1
192,331,1
193,842,1
194,329,1
195,326,1
196,325,1
197,500,1
198,423,1
199,980,1
200,992,1
201,465,1
202,311,1
203,57,1
204,543,1
205,478,1
206,340,1
207,993,1
208,3364,1
209,1652,1
210,996,1
211,486,1
212,487,1
213,498,1
214,118,1
215,464,1
216,457,1
217,2126,1
218,976,1
219,964,1
220,450,1
221,449,1
222,107,1
223,153,1
224,1339,1
225,48,1
226,946,1
227,474,1
228,430,1
229,941,1
230,428,1
231,939,1
232,831,1
233,1342,1
234,375,1
235,1242,1
236,204,1
237,1232,1
238,722,1
239,1748,1
240,214,1
241,192,1
242,1407,1
243,827,1
244,221,1
245,223,1
246,225,1
247,227,1
248,232,1
249,746,1
250,455,1
251,201,1
252,712,1
253,198,1
254,197,1
255,196,1
256,707,1
257,194,1
258,193,1
259,704,1
260,1016,1
261,4283,1
262,621,1
263,182,1
264,180,1
265,179,1
266,2088,1
267,2285,1
268,241,1
269,863,1
270,798,1
271,313,1
272,823,1
273,310,1
274,1333,1
275,307,1
276,305,1
277,814,1
278,810,1
279,1319,1
280,294,1
281,292,1
282,1827,1
283,802,1
284,288,1
285,283,1
286,246,1
287,282,1
288,281,1
289,275,1
290,784,1
291,782,1
292,2308,1
293,266,1
294,264,1
295,1286,1
296,260,1
297,256,1
298,253,1
299,251,1
300,250,1
301,1536,1
