,Color,Count
0,1DA1F2,301
1,ABB8C2,21
2,1B95E0,20
3,E81C4F,19
4,F58EA8,16
5,91D2FA,11
6,19CF86,11
7,FAB81E,9
8,0084B4,7
9,000000,6
10,981CEB,5
11,2FC2EF,5
12,009999,4
13,7FDBB6,4
14,FF691F,3
15,3B94D9,3
16,9266CC,3
17,DD2E44,3
18,B40B43,2
19,038543,2
20,89C9FA,2
21,F5ABB5,2
22,006400,2
23,D02B55,2
24,2CA3A3,1
25,5A3546,1
26,F57A9B,1
27,FA743E,1
28,887766,1
29,FF0000,1
30,FF5900,1
31,5DA5F6,1
32,00B348,1
33,72B50D,1
34,9D582E,1
35,088253,1
36,93A644,1
37,F18777,1
38,FBC2B1,1
39,0099CC,1
40,58B548,1
41,FFAA99,1
42,4A913C,1
43,A72B2B,1
44,777777,1
45,E6535B,1
46,FF83D8,1
47,4DD0E1,1
48,0099B9,1
49,306754,1
50,FC0B84,1
51,FF3300,1
52,333366,1
53,A1141F,1
54,F0F8FF,1
55,02183D,1
56,9370DB,1
57,367551,1
58,FF4000,1
59,FFFF88,1
60,FF55AA,1
